samples,elapsed_ns,ns_per_sample,time,input,output
200000,4257040,21.285,19.999900,-0.050232,-0.158875
200000,4006416,20.032,19.999900,-0.050232,-0.158875
200000,4006400,20.032,19.999900,-0.050232,-0.158875
200000,4027616,20.138,19.999900,-0.050232,-0.158875
200000,4006400,20.032,19.999900,-0.050232,-0.158875
200000,4006400,20.032,19.999900,-0.050232,-0.158875
200000,4006384,20.032,19.999900,-0.050232,-0.158875
200000,4006400,20.032,19.999900,-0.050232,-0.158875
200000,4006400,20.032,19.999900,-0.050232,-0.158875
200000,7432848,37.164,19.999900,-0.050232,-0.158875
median,4006400.0,20.032,,,
