samples,elapsed_ns,ns_per_sample,time,input,output
200000,2943008,14.715,19.999900,-0.050232,-0.158875
200000,2943008,14.715,19.999900,-0.050232,-0.158875
200000,3028080,15.140,19.999900,-0.050232,-0.158875
200000,2949296,14.746,19.999900,-0.050232,-0.158875
200000,2949296,14.746,19.999900,-0.050232,-0.158875
200000,2943008,14.715,19.999900,-0.050232,-0.158875
200000,2949296,14.746,19.999900,-0.050232,-0.158875
200000,2949904,14.750,19.999900,-0.050232,-0.158875
200000,2949296,14.746,19.999900,-0.050232,-0.158875
200000,2943008,14.715,19.999900,-0.050232,-0.158875
median,2949296.0,14.746,,,
