samples,elapsed_ns,ns_per_sample,time,input,output
200000,2753344,13.767,19.999900,-0.050232,-0.158875
200000,2757920,13.790,19.999900,-0.050232,-0.158875
200000,2725120,13.626,19.999900,-0.050232,-0.158875
200000,2725136,13.626,19.999900,-0.050232,-0.158875
200000,3083696,15.418,19.999900,-0.050232,-0.158875
200000,2731376,13.657,19.999900,-0.050232,-0.158875
200000,2731376,13.657,19.999900,-0.050232,-0.158875
200000,2725120,13.626,19.999900,-0.050232,-0.158875
200000,2731376,13.657,19.999900,-0.050232,-0.158875
200000,2731360,13.657,19.999900,-0.050232,-0.158875
median,2731376.0,13.657,,,
