config,program,assembly_file,loop_number,role,target_label,back_branch,asm_first_line,asm_last_line,body_instructions,control_instructions,ldr,ldr_family,str,str_family,ldm_family,stm_family
O0 Thumb,noOpt,benchmark_results_O0/noOpt/noOpt_O0.s,1,hot/main,.L5,blt,166,259,69,7,25,25,14,14,0,0
O0 Thumb,smallOpts,benchmark_results_O0/smallOpts/smallOpts_O0.s,1,hot/main,.L5,blt,151,213,41,4,5,5,0,0,0,0
O0 Thumb,pipelined,benchmark_results_O0/pipelined/pipelined_O0.s,1,hot/main,.L7,bgt,170,237,40,5,3,3,0,0,0,0
O0 Thumb,unrolled,benchmark_results_O0/unrolled/unrolled_O0.s,1,hot/main,.L5,bgt,151,265,72,5,5,5,0,0,0,0
O0 Thumb,unrolled2,benchmark_results_O0/unrolled2/unrolled2_O0.s,1,hot/main,.L7,bgt,170,289,75,5,5,5,0,0,0,0
O0 Thumb,unrolled2,benchmark_results_O0/unrolled2/unrolled2_O0.s,2,cleanup/remainder,.L9,bgt,294,357,40,5,3,3,0,0,0,0
O0 Thumb,unrolled4,benchmark_results_O0/unrolled4/unrolled4_O0.s,1,hot/main,.L5,bgt,151,373,140,5,9,9,0,0,0,0
O0 Thumb,unrolled4,benchmark_results_O0/unrolled4/unrolled4_O0.s,2,cleanup/remainder,.L7,blt,378,436,37,4,3,3,0,0,0,0
O0 Thumb,unrolled5,benchmark_results_O0/unrolled5/unrolled5_O0.s,1,hot/main,.L5,bgt,151,427,174,5,11,11,0,0,0,0
O0 Thumb,unrolled5,benchmark_results_O0/unrolled5/unrolled5_O0.s,2,cleanup/remainder,.L7,blt,432,490,37,4,3,3,0,0,0,0
O0 Thumb,unrolled6,benchmark_results_O0/unrolled6/unrolled6_O0.s,1,hot/main,.L5,bgt,151,481,208,5,13,13,0,0,0,0
O0 Thumb,unrolled6,benchmark_results_O0/unrolled6/unrolled6_O0.s,2,cleanup/remainder,.L7,blt,486,544,37,4,3,3,0,0,0,0
O0 Thumb,unrolled7,benchmark_results_O0/unrolled7/unrolled7_O0.s,1,hot/main,.L5,bgt,151,535,242,5,15,15,0,0,0,0
O0 Thumb,unrolled7,benchmark_results_O0/unrolled7/unrolled7_O0.s,2,cleanup/remainder,.L7,blt,540,598,37,4,3,3,0,0,0,0
O0 Thumb,unrolled8,benchmark_results_O0/unrolled8/unrolled8_O0.s,1,hot/main,.L5,bgt,151,589,276,5,17,17,0,0,0,0
O0 Thumb,unrolled8,benchmark_results_O0/unrolled8/unrolled8_O0.s,2,cleanup/remainder,.L7,blt,594,652,37,4,3,3,0,0,0,0
O0 Thumb,unrolled10,benchmark_results_O0/unrolled10/unrolled10_O0.s,1,hot/main,.L5,bgt,151,697,344,5,21,21,0,0,0,0
O0 Thumb,unrolled10,benchmark_results_O0/unrolled10/unrolled10_O0.s,2,cleanup/remainder,.L7,blt,702,760,37,4,3,3,0,0,0,0
O0 Thumb,unrolled20,benchmark_results_O0/unrolled20/unrolled20_O0.s,1,hot/main,.L5,bgt,151,1237,684,5,41,41,0,0,0,0
O0 Thumb,unrolled20,benchmark_results_O0/unrolled20/unrolled20_O0.s,2,cleanup/remainder,.L7,blt,1242,1300,37,4,3,3,0,0,0,0
O2 Thumb,noOpt,benchmark_results_O2/noOpt/noOpt_O2.s,1,hot/main,.L5,bne,122,148,17,2,1,1,0,0,0,0
O2 Thumb,smallOpts,benchmark_results_O2/smallOpts/smallOpts_O2.s,1,hot/main,.L5,bne,122,148,17,2,1,1,0,0,0,0
O2 Thumb,pipelined,benchmark_results_O2/pipelined/pipelined_O2.s,1,hot/main,.L8,bne,132,161,17,2,1,1,0,0,0,0
O2 Thumb,unrolled,benchmark_results_O2/unrolled/unrolled_O2.s,1,hot/main,.L5,bne,123,170,27,3,2,2,0,0,0,0
O2 Thumb,unrolled2,benchmark_results_O2/unrolled2/unrolled2_O2.s,1,hot/main,.L5,bne,131,176,26,2,2,2,0,0,0,0
O2 Thumb,unrolled4,benchmark_results_O2/unrolled4/unrolled4_O2.s,1,hot/main,.L5,bne,127,214,47,3,4,4,0,0,0,0
O2 Thumb,unrolled5,benchmark_results_O2/unrolled5/unrolled5_O2.s,1,hot/main,.L5,bne,126,231,58,4,4,5,0,0,0,0
O2 Thumb,unrolled6,benchmark_results_O2/unrolled6/unrolled6_O2.s,1,hot/main,.L5,bne,126,252,69,4,5,6,0,0,0,0
O2 Thumb,unrolled7,benchmark_results_O2/unrolled7/unrolled7_O2.s,1,hot/main,.L5,bne,124,280,86,4,4,7,1,1,0,0
O2 Thumb,unrolled7,benchmark_results_O2/unrolled7/unrolled7_O2.s,2,cleanup/remainder,.L6,bne,297,323,17,2,1,1,0,0,0,0
O2 Thumb,unrolled8,benchmark_results_O2/unrolled8/unrolled8_O2.s,1,hot/main,.L5,bne,128,292,90,4,5,7,0,0,0,0
O2 Thumb,unrolled10,benchmark_results_O2/unrolled10/unrolled10_O2.s,1,hot/main,.L5,bne,127,333,112,4,7,9,0,0,0,0
O2 Thumb,unrolled20,benchmark_results_O2/unrolled20/unrolled20_O2.s,1,hot/main,.L5,bne,126,526,218,4,9,15,0,0,0,0
O2 ARM,noOpt,benchmark_results_O2marm/noOpt/noOpt_O2marm.s,1,hot/main,.L5,bne,122,147,16,2,1,1,0,0,0,0
O2 ARM,smallOpts,benchmark_results_O2marm/smallOpts/smallOpts_O2marm.s,1,hot/main,.L5,bne,122,147,16,2,1,1,0,0,0,0
O2 ARM,pipelined,benchmark_results_O2marm/pipelined/pipelined_O2marm.s,1,hot/main,.L8,bne,122,152,17,2,1,1,0,0,0,0
O2 ARM,unrolled,benchmark_results_O2marm/unrolled/unrolled_O2marm.s,1,hot/main,.L5,bne,122,167,25,3,2,2,0,0,0,0
O2 ARM,unrolled2,benchmark_results_O2marm/unrolled2/unrolled2_O2marm.s,1,hot/main,.L5,bne,127,170,24,2,2,2,0,0,0,0
O2 ARM,unrolled4,benchmark_results_O2marm/unrolled4/unrolled4_O2marm.s,1,hot/main,.L5,bne,127,209,43,3,4,4,0,0,0,0
O2 ARM,unrolled5,benchmark_results_O2marm/unrolled5/unrolled5_O2marm.s,1,hot/main,.L5,bne,126,229,54,4,6,6,0,0,0,0
O2 ARM,unrolled6,benchmark_results_O2marm/unrolled6/unrolled6_O2marm.s,1,hot/main,.L5,bne,127,246,63,4,5,6,0,0,0,0
O2 ARM,unrolled7,benchmark_results_O2marm/unrolled7/unrolled7_O2marm.s,1,hot/main,.L5,bne,127,281,81,4,8,9,1,1,0,0
O2 ARM,unrolled7,benchmark_results_O2marm/unrolled7/unrolled7_O2marm.s,2,cleanup/remainder,.L6,bne,299,324,16,2,1,1,0,0,0,0
O2 ARM,unrolled8,benchmark_results_O2marm/unrolled8/unrolled8_O2marm.s,1,hot/main,.L5,bne,126,289,84,4,9,9,0,0,0,0
O2 ARM,unrolled10,benchmark_results_O2marm/unrolled10/unrolled10_O2marm.s,1,hot/main,.L5,bne,126,323,102,4,5,5,0,0,2,0
O2 ARM,unrolled20,benchmark_results_O2marm/unrolled20/unrolled20_O2marm.s,1,hot/main,.L5,bne,142,538,203,4,18,18,0,0,1,0
O3 ARM,noOpt,benchmark_results_O3marm/noOpt/noOpt_O3marm.s,1,hot/main,.L5,bne,122,147,16,2,1,1,0,0,0,0
O3 ARM,smallOpts,benchmark_results_O3marm/smallOpts/smallOpts_O3marm.s,1,hot/main,.L5,bne,122,147,16,2,1,1,0,0,0,0
O3 ARM,pipelined,benchmark_results_O3marm/pipelined/pipelined_O3marm.s,1,hot/main,.L8,bne,122,152,17,2,1,1,0,0,0,0
O3 ARM,unrolled,benchmark_results_O3marm/unrolled/unrolled_O3marm.s,1,hot/main,.L5,bne,122,167,25,3,2,2,0,0,0,0
O3 ARM,unrolled2,benchmark_results_O3marm/unrolled2/unrolled2_O3marm.s,1,hot/main,.L5,bne,127,170,24,2,2,2,0,0,0,0
O3 ARM,unrolled4,benchmark_results_O3marm/unrolled4/unrolled4_O3marm.s,1,hot/main,.L5,bne,127,209,43,3,4,4,0,0,0,0
O3 ARM,unrolled5,benchmark_results_O3marm/unrolled5/unrolled5_O3marm.s,1,hot/main,.L5,bne,126,229,54,4,6,6,0,0,0,0
O3 ARM,unrolled6,benchmark_results_O3marm/unrolled6/unrolled6_O3marm.s,1,hot/main,.L5,bne,127,246,63,4,5,6,0,0,0,0
O3 ARM,unrolled7,benchmark_results_O3marm/unrolled7/unrolled7_O3marm.s,1,hot/main,.L5,bne,127,266,73,4,6,7,0,0,0,0
O3 ARM,unrolled8,benchmark_results_O3marm/unrolled8/unrolled8_O3marm.s,1,hot/main,.L5,bne,126,289,84,4,9,9,0,0,0,0
O3 ARM,unrolled10,benchmark_results_O3marm/unrolled10/unrolled10_O3marm.s,1,hot/main,.L5,bne,126,323,102,4,5,5,0,0,2,0
O3 ARM,unrolled20,benchmark_results_O3marm/unrolled20/unrolled20_O3marm.s,1,hot/main,.L5,bne,142,538,203,4,18,18,0,0,1,0
