signal,samples,rmse,rmse_q14_lsb,rmse_percent_of_unit_full_scale,steady_state_rmse,maximum_absolute_error
multitone_2000,2000,8.045187707114427e-05,1.3181235539336278,0.008045187707114428,8.041993810342436e-05,0.00018597228799999144
peak_pattern_1000,1000,0.00011008393452627956,1.8036151832785643,0.011008393452627956,0.00011978756956547284,0.00020246943800000805
sine_1000hz_2000,2000,0.00014325230100178046,2.347045699613171,0.014325230100178046,0.00014391457038695306,0.00020195279099999297
sine_100hz_2000,2000,7.677321415121466e-05,1.257852340653501,0.007677321415121466,7.677580326311544e-05,0.00018156396199997538
sine_2000hz_2000,2000,9.288810674865317e-05,1.5218787409699335,0.009288810674865316,9.308738223533359e-05,0.0001323676596999973
sine_4000hz_2000,2000,4.155896761965584e-05,0.6809021254804413,0.004155896761965584,4.1373852064801425e-05,0.0001067402570400014
sine_500hz_2000,2000,0.00011197728012098571,1.8346357575022298,0.011197728012098571,0.00011223286183170514,0.00015859361500003555
step,2000,0.0001600367481074886,2.622042080993093,0.01600367481074886,0.00016086745999999152,0.0001685905899999618
impulse,2000,6.080199881814333e-05,0.9961799486364603,0.006080199881814333,6.103500000000001e-05,8.2434560488e-05
ALL_WEIGHTED,17000,0.00010355447116284052,1.696636455531979,0.010355447116284052,,0.00020246943800000805
