frequency_hz,magnitude,magnitude_db,phase_degrees
0.000,1.00015259022,0.001325281,0.000000000
5.000,0.99996409405,-0.000311881,-0.390922406
10.000,1.00004010152,0.000348310,-0.784562206
15.000,1.00000636635,0.000055297,-1.175216612
20.000,0.99996558113,-0.000298964,-1.566433874
25.000,1.00000211759,0.000018393,-1.959422311
30.000,1.00001574305,0.000136741,-2.351934798
35.000,1.000001465,0.000012725,-2.743944437
40.000,1.00002375323,0.000206316,-3.137161676
45.000,1.00000001107,0.000000096,-3.528808894
50.000,0.999990402934,-0.000083359,-3.923328830
55.000,0.999987436332,-0.000109127,-4.315357838
60.000,1.00002912866,0.000253005,-4.707049955
65.000,0.999987767331,-0.000106252,-5.101033721
70.000,0.999974418891,-0.000222198,-5.495266413
75.000,0.999988777943,-0.000097474,-5.888257311
80.000,1.00002788424,0.000242196,-6.282316580
85.000,0.999973413997,-0.000230926,-6.676682977
90.000,0.999977086526,-0.000199026,-7.073665556
95.000,0.999958290608,-0.000362291,-7.467212809
100.000,0.999931199976,-0.000597610,-7.861723274
105.000,0.999952962898,-0.000408569,-8.258972298
110.000,0.999936621431,-0.000550517,-8.655385875
115.000,0.999917148881,-0.000719665,-9.052203331
120.000,0.999874358187,-0.001091379,-9.448636531
125.000,0.999885220415,-0.000997020,-9.850291586
130.000,0.999866466869,-0.001159931,-10.245564551
135.000,0.999844623135,-0.001349691,-10.644748854
140.000,0.999816652942,-0.001592678,-11.042616253
145.000,0.999800849995,-0.001729967,-11.443815963
150.000,0.999747145425,-0.002196545,-11.845027878
155.000,0.999735491038,-0.002297800,-12.245088574
160.000,0.999683626003,-0.002748424,-12.646202004
165.000,0.99966528062,-0.002907822,-13.048948413
170.000,0.999641429962,-0.003115058,-13.453204612
175.000,0.999586258735,-0.003594455,-13.855306775
180.000,0.999532087625,-0.004065186,-14.259760312
185.000,0.999479543993,-0.004521800,-14.664883059
190.000,0.999409547888,-0.005130117,-15.070771201
195.000,0.999356048065,-0.005595097,-15.477447964
200.000,0.999223579944,-0.006746518,-15.884742013
205.000,0.999213259558,-0.006836230,-16.292553105
210.000,0.99913628638,-0.007505363,-16.701414475
215.000,0.999056623693,-0.008197930,-17.110892147
220.000,0.998949320339,-0.009130885,-17.520447590
225.000,0.998846781615,-0.010022508,-17.930926498
230.000,0.99876755057,-0.010711522,-18.343753058
235.000,0.998643512581,-0.011790299,-18.756664948
240.000,0.998537317139,-0.012714002,-19.171457361
245.000,0.998405160438,-0.013863659,-19.584001381
250.000,0.998205111402,-0.015604212,-20.001139112
255.000,0.998127541619,-0.016279213,-20.416360595
260.000,0.997970836628,-0.017642995,-20.833407729
265.000,0.997815354459,-0.018996348,-21.252325790
270.000,0.997658017981,-0.020366055,-21.670846183
275.000,0.997460470496,-0.022086129,-22.092016911
280.000,0.997298576241,-0.023496019,-22.512307707
285.000,0.997066495456,-0.025517543,-22.934920445
290.000,0.996869105633,-0.027237264,-23.357875461
295.000,0.996650266882,-0.029144252,-23.782137494
300.000,0.996389381009,-0.031418192,-24.207662811
305.000,0.996175648001,-0.033281580,-24.633639030
310.000,0.995924132135,-0.035474883,-25.060915872
315.000,0.995644469101,-0.037914289,-25.489274397
320.000,0.995350623533,-0.040478143,-25.919467266
