time,input,output
0.000000000,0.000000000,0.000000000
0.000100000,0.316406250,0.021301270
0.000200000,0.248901367,0.083801270
0.000300000,0.378234863,0.167419434
0.000400000,0.174194336,0.236267090
0.000500000,0.261779785,0.267639160
0.000600000,0.329528809,0.277648926
0.000700000,0.067932129,0.273620605
0.000800000,0.107543945,0.236755371
0.000900000,-0.073059082,0.171813965
0.001000000,0.117553711,0.103942871
0.001100000,0.307678223,0.079528809
0.001200000,0.125671387,0.105895996
0.001300000,0.162963867,0.136901855
0.001400000,-0.101806641,0.136413574
0.001500000,-0.038146973,0.094055176
0.001600000,0.044311523,0.042175293
0.001700000,-0.165527344,0.001647949
0.001800000,-0.042907715,-0.037780762
0.001900000,-0.117858887,-0.068786621
0.002000000,0.190185547,-0.069030762
0.002100000,0.497558594,0.000793457
0.002200000,0.420288086,0.137634277
0.002300000,0.539184570,0.283630371
0.002400000,0.324096680,0.390319824
0.002500000,0.399963379,0.436096191
0.002600000,0.455505371,0.443908691
0.002700000,0.181213379,0.428039551
0.002800000,0.207641602,0.375183105
0.002900000,0.013427734,0.293273926
0.003000000,0.190185547,0.209045410
0.003100000,0.366149902,0.169128418
0.003200000,0.169738770,0.180725098
0.003300000,0.192382812,0.197326660
0.003400000,-0.087036133,0.182434082
0.003500000,-0.038146973,0.125793457
0.003600000,0.029602051,0.059509277
0.003700000,-0.194946289,0.004333496
0.003800000,-0.086975098,-0.049743652
0.003900000,-0.176330566,-0.095397949
0.004000000,0.117553711,-0.110290527
0.004100000,0.411010742,-0.054992676
0.004200000,0.320190430,0.067687988
0.004300000,0.425903320,0.199645996
0.004400000,0.198059082,0.292663574
0.004500000,0.261779785,0.325256348
0.004600000,0.305664062,0.320251465
0.004700000,0.020263672,0.292053223
0.004800000,0.036254883,0.227478027
0.004900000,-0.167663574,0.134460449
0.005000000,0.000000000,0.039611816
0.005100000,0.167663574,-0.010192871
0.005200000,-0.036254883,-0.007873535
0.005300000,-0.020263672,0.000305176
0.005400000,-0.305664062,-0.022155762
0.005500000,-0.261779785,-0.085754395
0.005600000,-0.198059082,-0.158142090
0.005700000,-0.425903320,-0.218444824
0.005800000,-0.320190430,-0.276794434
0.005900000,-0.411010742,-0.325866699
0.006000000,-0.117553711,-0.343200684
0.006100000,0.176330566,-0.289489746
0.006200000,0.086975098,-0.167541504
0.006300000,0.194946289,-0.035217285
0.006400000,-0.029602051,0.059020996
0.006500000,0.038146973,0.093688965
0.006600000,0.087036133,0.091735840
0.006700000,-0.192382812,0.067565918
0.006800000,-0.169738770,0.007873535
0.006900000,-0.366149902,-0.079406738
0.007000000,-0.190185547,-0.167663574
0.007100000,-0.013427734,-0.210144043
0.007200000,-0.207641602,-0.199645996
0.007300000,-0.181213379,-0.182556152
0.007400000,-0.455505371,-0.195373535
0.007500000,-0.399963379,-0.248596191
0.007600000,-0.324096680,-0.309997559
0.007700000,-0.539184570,-0.358825684
0.007800000,-0.420288086,-0.405090332
0.007900000,-0.497558594,-0.441467285
0.008000000,-0.190185547,-0.445617676
0.008100000,0.117858887,-0.378356934
0.008200000,0.042907715,-0.242614746
0.008300000,0.165527344,-0.096252441
0.008400000,-0.044311523,0.012390137
0.008500000,0.038146973,0.061706543
0.008600000,0.101806641,0.074401855
0.008700000,-0.162963867,0.064880371
0.008800000,-0.125671387,0.019836426
0.008900000,-0.307678223,-0.052795410
0.009000000,-0.117553711,-0.126403809
0.009100000,0.073059082,-0.154357910
0.009200000,-0.107543945,-0.129577637
0.009300000,-0.067932129,-0.098571777
0.009400000,-0.329528809,-0.097839355
0.009500000,-0.261779785,-0.137878418
0.009600000,-0.174194336,-0.186462402
0.009700000,-0.378234863,-0.222839355
0.009800000,-0.248901367,-0.257263184
0.009900000,-0.316406250,-0.282531738
0.010000000,0.000000000,-0.276184082
0.010100000,0.316406250,-0.199035645
0.010200000,0.248901367,-0.054016113
0.010300000,0.378234863,0.100891113
0.010400000,0.174194336,0.217224121
0.010500000,0.261779785,0.273254395
0.010600000,0.329528809,0.291931152
0.010700000,0.067932129,0.287536621
0.010800000,0.107543945,0.246765137
0.010900000,-0.073059082,0.177551270
0.011000000,0.117553711,0.106384277
0.011100000,0.307678223,0.080017090
0.011200000,0.125671387,0.105407715
0.011300000,0.162963867,0.136169434
0.011400000,-0.101806641,0.135681152
0.011500000,-0.038146973,0.093566895
0.011600000,0.044311523,0.041931152
0.011700000,-0.165527344,0.001525879
0.011800000,-0.042907715,-0.037780762
0.011900000,-0.117858887,-0.068664551
0.012000000,0.190185547,-0.068908691
0.012100000,0.497558594,0.000793457
0.012200000,0.420288086,0.137634277
0.012300000,0.539184570,0.283630371
0.012400000,0.324096680,0.390319824
0.012500000,0.399963379,0.436096191
0.012600000,0.455505371,0.443908691
0.012700000,0.181213379,0.428039551
0.012800000,0.207641602,0.375183105
0.012900000,0.013427734,0.293273926
0.013000000,0.190185547,0.209045410
0.013100000,0.366149902,0.169128418
0.013200000,0.169738770,0.180725098
0.013300000,0.192382812,0.197326660
0.013400000,-0.087036133,0.182434082
0.013500000,-0.038146973,0.125793457
0.013600000,0.029602051,0.059509277
0.013700000,-0.194946289,0.004333496
0.013800000,-0.086975098,-0.049743652
0.013900000,-0.176330566,-0.095397949
0.014000000,0.117553711,-0.110290527
0.014100000,0.411010742,-0.054992676
0.014200000,0.320190430,0.067687988
0.014300000,0.425903320,0.199645996
0.014400000,0.198059082,0.292663574
0.014500000,0.261779785,0.325256348
