time,input,output
0.000000000,0.000000000,0.000000000
0.000100000,0.247192383,0.016662598
0.000200000,0.470214844,0.084045410
0.000300000,0.647155762,0.212951660
0.000400000,0.760803223,0.379089355
0.000500000,0.799987793,0.545593262
0.000600000,0.760803223,0.677673340
0.000700000,0.647155762,0.749572754
0.000800000,0.470214844,0.747375488
0.000900000,0.247192383,0.668640137
0.001000000,0.000000000,0.520812988
0.001100000,-0.247192383,0.319274902
0.001200000,-0.470214844,0.084899902
0.001300000,-0.647155762,-0.158508301
0.001400000,-0.760803223,-0.386535645
0.001500000,-0.799987793,-0.576599121
0.001600000,-0.760803223,-0.710021973
0.001700000,-0.647155762,-0.773742676
0.001800000,-0.470214844,-0.761657715
0.001900000,-0.247192383,-0.674987793
0.002000000,0.000000000,-0.522155762
0.002100000,0.247192383,-0.318176270
0.002200000,0.470214844,-0.083068848
0.002300000,0.647155762,0.160095215
0.002400000,0.760803223,0.387634277
0.002500000,0.799987793,0.577209473
0.002600000,0.760803223,0.710266113
0.002700000,0.647155762,0.773742676
0.002800000,0.470214844,0.761535645
0.002900000,0.247192383,0.674743652
0.003000000,0.000000000,0.521911621
0.003100000,-0.247192383,0.318054199
0.003200000,-0.470214844,0.083068848
0.003300000,-0.647155762,-0.160095215
0.003400000,-0.760803223,-0.387634277
0.003500000,-0.799987793,-0.577209473
0.003600000,-0.760803223,-0.710266113
0.003700000,-0.647155762,-0.773742676
0.003800000,-0.470214844,-0.761535645
0.003900000,-0.247192383,-0.674743652
0.004000000,0.000000000,-0.521911621
0.004100000,0.247192383,-0.318054199
0.004200000,0.470214844,-0.083068848
0.004300000,0.647155762,0.160095215
0.004400000,0.760803223,0.387634277
0.004500000,0.799987793,0.577209473
0.004600000,0.760803223,0.710266113
0.004700000,0.647155762,0.773742676
0.004800000,0.470214844,0.761535645
0.004900000,0.247192383,0.674743652
0.005000000,0.000000000,0.521911621
0.005100000,-0.247192383,0.318054199
0.005200000,-0.470214844,0.083068848
0.005300000,-0.647155762,-0.160095215
0.005400000,-0.760803223,-0.387634277
0.005500000,-0.799987793,-0.577209473
0.005600000,-0.760803223,-0.710266113
0.005700000,-0.647155762,-0.773742676
0.005800000,-0.470214844,-0.761535645
0.005900000,-0.247192383,-0.674743652
0.006000000,0.000000000,-0.521911621
0.006100000,0.247192383,-0.318054199
0.006200000,0.470214844,-0.083068848
0.006300000,0.647155762,0.160095215
0.006400000,0.760803223,0.387634277
0.006500000,0.799987793,0.577209473
0.006600000,0.760803223,0.710266113
0.006700000,0.647155762,0.773742676
0.006800000,0.470214844,0.761535645
0.006900000,0.247192383,0.674743652
0.007000000,0.000000000,0.521911621
0.007100000,-0.247192383,0.318054199
0.007200000,-0.470214844,0.083068848
0.007300000,-0.647155762,-0.160095215
0.007400000,-0.760803223,-0.387634277
0.007500000,-0.799987793,-0.577209473
0.007600000,-0.760803223,-0.710266113
0.007700000,-0.647155762,-0.773742676
0.007800000,-0.470214844,-0.761535645
0.007900000,-0.247192383,-0.674743652
0.008000000,0.000000000,-0.521911621
0.008100000,0.247192383,-0.318054199
0.008200000,0.470214844,-0.083068848
0.008300000,0.647155762,0.160095215
0.008400000,0.760803223,0.387634277
0.008500000,0.799987793,0.577209473
0.008600000,0.760803223,0.710266113
0.008700000,0.647155762,0.773742676
0.008800000,0.470214844,0.761535645
0.008900000,0.247192383,0.674743652
0.009000000,0.000000000,0.521911621
0.009100000,-0.247192383,0.318054199
0.009200000,-0.470214844,0.083068848
0.009300000,-0.647155762,-0.160095215
0.009400000,-0.760803223,-0.387634277
0.009500000,-0.799987793,-0.577209473
0.009600000,-0.760803223,-0.710266113
0.009700000,-0.647155762,-0.773742676
0.009800000,-0.470214844,-0.761535645
0.009900000,-0.247192383,-0.674743652
0.010000000,0.000000000,-0.521911621
0.010100000,0.247192383,-0.318054199
0.010200000,0.470214844,-0.083068848
0.010300000,0.647155762,0.160095215
0.010400000,0.760803223,0.387634277
0.010500000,0.799987793,0.577209473
0.010600000,0.760803223,0.710266113
0.010700000,0.647155762,0.773742676
0.010800000,0.470214844,0.761535645
0.010900000,0.247192383,0.674743652
0.011000000,0.000000000,0.521911621
0.011100000,-0.247192383,0.318054199
0.011200000,-0.470214844,0.083068848
0.011300000,-0.647155762,-0.160095215
0.011400000,-0.760803223,-0.387634277
0.011500000,-0.799987793,-0.577209473
0.011600000,-0.760803223,-0.710266113
0.011700000,-0.647155762,-0.773742676
0.011800000,-0.470214844,-0.761535645
0.011900000,-0.247192383,-0.674743652
0.012000000,0.000000000,-0.521911621
0.012100000,0.247192383,-0.318054199
0.012200000,0.470214844,-0.083068848
0.012300000,0.647155762,0.160095215
0.012400000,0.760803223,0.387634277
0.012500000,0.799987793,0.577209473
0.012600000,0.760803223,0.710266113
0.012700000,0.647155762,0.773742676
0.012800000,0.470214844,0.761535645
0.012900000,0.247192383,0.674743652
0.013000000,0.000000000,0.521911621
0.013100000,-0.247192383,0.318054199
0.013200000,-0.470214844,0.083068848
0.013300000,-0.647155762,-0.160095215
0.013400000,-0.760803223,-0.387634277
0.013500000,-0.799987793,-0.577209473
0.013600000,-0.760803223,-0.710266113
0.013700000,-0.647155762,-0.773742676
0.013800000,-0.470214844,-0.761535645
0.013900000,-0.247192383,-0.674743652
0.014000000,0.000000000,-0.521911621
0.014100000,0.247192383,-0.318054199
0.014200000,0.470214844,-0.083068848
0.014300000,0.647155762,0.160095215
0.014400000,0.760803223,0.387634277
0.014500000,0.799987793,0.577209473
0.014600000,0.760803223,0.710266113
0.014700000,0.647155762,0.773742676
0.014800000,0.470214844,0.761535645
0.014900000,0.247192383,0.674743652
0.015000000,0.000000000,0.521911621
0.015100000,-0.247192383,0.318054199
0.015200000,-0.470214844,0.083068848
0.015300000,-0.647155762,-0.160095215
0.015400000,-0.760803223,-0.387634277
0.015500000,-0.799987793,-0.577209473
0.015600000,-0.760803223,-0.710266113
0.015700000,-0.647155762,-0.773742676
0.015800000,-0.470214844,-0.761535645
0.015900000,-0.247192383,-0.674743652
0.016000000,0.000000000,-0.521911621
0.016100000,0.247192383,-0.318054199
0.016200000,0.470214844,-0.083068848
0.016300000,0.647155762,0.160095215
0.016400000,0.760803223,0.387634277
0.016500000,0.799987793,0.577209473
0.016600000,0.760803223,0.710266113
0.016700000,0.647155762,0.773742676
0.016800000,0.470214844,0.761535645
0.016900000,0.247192383,0.674743652
0.017000000,0.000000000,0.521911621
0.017100000,-0.247192383,0.318054199
0.017200000,-0.470214844,0.083068848
0.017300000,-0.647155762,-0.160095215
0.017400000,-0.760803223,-0.387634277
0.017500000,-0.799987793,-0.577209473
0.017600000,-0.760803223,-0.710266113
0.017700000,-0.647155762,-0.773742676
0.017800000,-0.470214844,-0.761535645
0.017900000,-0.247192383,-0.674743652
0.018000000,0.000000000,-0.521911621
0.018100000,0.247192383,-0.318054199
0.018200000,0.470214844,-0.083068848
0.018300000,0.647155762,0.160095215
0.018400000,0.760803223,0.387634277
0.018500000,0.799987793,0.577209473
0.018600000,0.760803223,0.710266113
0.018700000,0.647155762,0.773742676
0.018800000,0.470214844,0.761535645
0.018900000,0.247192383,0.674743652
0.019000000,0.000000000,0.521911621
0.019100000,-0.247192383,0.318054199
0.019200000,-0.470214844,0.083068848
0.019300000,-0.647155762,-0.160095215
0.019400000,-0.760803223,-0.387634277
0.019500000,-0.799987793,-0.577209473
0.019600000,-0.760803223,-0.710266113
0.019700000,-0.647155762,-0.773742676
0.019800000,-0.470214844,-0.761535645
0.019900000,-0.247192383,-0.674743652
0.020000000,0.000000000,-0.521911621
0.020100000,0.247192383,-0.318054199
0.020200000,0.470214844,-0.083068848
0.020300000,0.647155762,0.160095215
0.020400000,0.760803223,0.387634277
0.020500000,0.799987793,0.577209473
0.020600000,0.760803223,0.710266113
0.020700000,0.647155762,0.773742676
0.020800000,0.470214844,0.761535645
0.020900000,0.247192383,0.674743652
0.021000000,0.000000000,0.521911621
0.021100000,-0.247192383,0.318054199
0.021200000,-0.470214844,0.083068848
0.021300000,-0.647155762,-0.160095215
0.021400000,-0.760803223,-0.387634277
0.021500000,-0.799987793,-0.577209473
0.021600000,-0.760803223,-0.710266113
0.021700000,-0.647155762,-0.773742676
0.021800000,-0.470214844,-0.761535645
0.021900000,-0.247192383,-0.674743652
0.022000000,0.000000000,-0.521911621
0.022100000,0.247192383,-0.318054199
0.022200000,0.470214844,-0.083068848
0.022300000,0.647155762,0.160095215
0.022400000,0.760803223,0.387634277
0.022500000,0.799987793,0.577209473
0.022600000,0.760803223,0.710266113
0.022700000,0.647155762,0.773742676
0.022800000,0.470214844,0.761535645
0.022900000,0.247192383,0.674743652
0.023000000,0.000000000,0.521911621
0.023100000,-0.247192383,0.318054199
0.023200000,-0.470214844,0.083068848
0.023300000,-0.647155762,-0.160095215
0.023400000,-0.760803223,-0.387634277
0.023500000,-0.799987793,-0.577209473
0.023600000,-0.760803223,-0.710266113
0.023700000,-0.647155762,-0.773742676
0.023800000,-0.470214844,-0.761535645
0.023900000,-0.247192383,-0.674743652
0.024000000,0.000000000,-0.521911621
0.024100000,0.247192383,-0.318054199
0.024200000,0.470214844,-0.083068848
0.024300000,0.647155762,0.160095215
0.024400000,0.760803223,0.387634277
0.024500000,0.799987793,0.577209473
0.024600000,0.760803223,0.710266113
0.024700000,0.647155762,0.773742676
0.024800000,0.470214844,0.761535645
0.024900000,0.247192383,0.674743652
0.025000000,0.000000000,0.521911621
0.025100000,-0.247192383,0.318054199
0.025200000,-0.470214844,0.083068848
0.025300000,-0.647155762,-0.160095215
0.025400000,-0.760803223,-0.387634277
0.025500000,-0.799987793,-0.577209473
0.025600000,-0.760803223,-0.710266113
0.025700000,-0.647155762,-0.773742676
0.025800000,-0.470214844,-0.761535645
0.025900000,-0.247192383,-0.674743652
0.026000000,0.000000000,-0.521911621
0.026100000,0.247192383,-0.318054199
0.026200000,0.470214844,-0.083068848
0.026300000,0.647155762,0.160095215
0.026400000,0.760803223,0.387634277
0.026500000,0.799987793,0.577209473
0.026600000,0.760803223,0.710266113
0.026700000,0.647155762,0.773742676
0.026800000,0.470214844,0.761535645
0.026900000,0.247192383,0.674743652
0.027000000,0.000000000,0.521911621
0.027100000,-0.247192383,0.318054199
0.027200000,-0.470214844,0.083068848
0.027300000,-0.647155762,-0.160095215
0.027400000,-0.760803223,-0.387634277
0.027500000,-0.799987793,-0.577209473
0.027600000,-0.760803223,-0.710266113
0.027700000,-0.647155762,-0.773742676
0.027800000,-0.470214844,-0.761535645
0.027900000,-0.247192383,-0.674743652
0.028000000,0.000000000,-0.521911621
0.028100000,0.247192383,-0.318054199
0.028200000,0.470214844,-0.083068848
0.028300000,0.647155762,0.160095215
0.028400000,0.760803223,0.387634277
0.028500000,0.799987793,0.577209473
0.028600000,0.760803223,0.710266113
0.028700000,0.647155762,0.773742676
0.028800000,0.470214844,0.761535645
0.028900000,0.247192383,0.674743652
0.029000000,0.000000000,0.521911621
0.029100000,-0.247192383,0.318054199
0.029200000,-0.470214844,0.083068848
0.029300000,-0.647155762,-0.160095215
0.029400000,-0.760803223,-0.387634277
0.029500000,-0.799987793,-0.577209473
0.029600000,-0.760803223,-0.710266113
0.029700000,-0.647155762,-0.773742676
0.029800000,-0.470214844,-0.761535645
0.029900000,-0.247192383,-0.674743652
0.030000000,0.000000000,-0.521911621
0.030100000,0.247192383,-0.318054199
0.030200000,0.470214844,-0.083068848
0.030300000,0.647155762,0.160095215
0.030400000,0.760803223,0.387634277
0.030500000,0.799987793,0.577209473
0.030600000,0.760803223,0.710266113
0.030700000,0.647155762,0.773742676
0.030800000,0.470214844,0.761535645
0.030900000,0.247192383,0.674743652
0.031000000,0.000000000,0.521911621
0.031100000,-0.247192383,0.318054199
0.031200000,-0.470214844,0.083068848
0.031300000,-0.647155762,-0.160095215
0.031400000,-0.760803223,-0.387634277
0.031500000,-0.799987793,-0.577209473
0.031600000,-0.760803223,-0.710266113
0.031700000,-0.647155762,-0.773742676
0.031800000,-0.470214844,-0.761535645
0.031900000,-0.247192383,-0.674743652
0.032000000,0.000000000,-0.521911621
0.032100000,0.247192383,-0.318054199
0.032200000,0.470214844,-0.083068848
0.032300000,0.647155762,0.160095215
0.032400000,0.760803223,0.387634277
0.032500000,0.799987793,0.577209473
0.032600000,0.760803223,0.710266113
0.032700000,0.647155762,0.773742676
0.032800000,0.470214844,0.761535645
0.032900000,0.247192383,0.674743652
0.033000000,0.000000000,0.521911621
0.033100000,-0.247192383,0.318054199
0.033200000,-0.470214844,0.083068848
0.033300000,-0.647155762,-0.160095215
0.033400000,-0.760803223,-0.387634277
0.033500000,-0.799987793,-0.577209473
0.033600000,-0.760803223,-0.710266113
0.033700000,-0.647155762,-0.773742676
0.033800000,-0.470214844,-0.761535645
0.033900000,-0.247192383,-0.674743652
0.034000000,0.000000000,-0.521911621
0.034100000,0.247192383,-0.318054199
0.034200000,0.470214844,-0.083068848
0.034300000,0.647155762,0.160095215
0.034400000,0.760803223,0.387634277
0.034500000,0.799987793,0.577209473
0.034600000,0.760803223,0.710266113
0.034700000,0.647155762,0.773742676
0.034800000,0.470214844,0.761535645
0.034900000,0.247192383,0.674743652
0.035000000,0.000000000,0.521911621
0.035100000,-0.247192383,0.318054199
0.035200000,-0.470214844,0.083068848
0.035300000,-0.647155762,-0.160095215
0.035400000,-0.760803223,-0.387634277
0.035500000,-0.799987793,-0.577209473
0.035600000,-0.760803223,-0.710266113
0.035700000,-0.647155762,-0.773742676
0.035800000,-0.470214844,-0.761535645
0.035900000,-0.247192383,-0.674743652
0.036000000,0.000000000,-0.521911621
0.036100000,0.247192383,-0.318054199
0.036200000,0.470214844,-0.083068848
0.036300000,0.647155762,0.160095215
0.036400000,0.760803223,0.387634277
0.036500000,0.799987793,0.577209473
0.036600000,0.760803223,0.710266113
0.036700000,0.647155762,0.773742676
0.036800000,0.470214844,0.761535645
0.036900000,0.247192383,0.674743652
0.037000000,0.000000000,0.521911621
0.037100000,-0.247192383,0.318054199
0.037200000,-0.470214844,0.083068848
0.037300000,-0.647155762,-0.160095215
0.037400000,-0.760803223,-0.387634277
0.037500000,-0.799987793,-0.577209473
0.037600000,-0.760803223,-0.710266113
0.037700000,-0.647155762,-0.773742676
0.037800000,-0.470214844,-0.761535645
0.037900000,-0.247192383,-0.674743652
0.038000000,0.000000000,-0.521911621
0.038100000,0.247192383,-0.318054199
0.038200000,0.470214844,-0.083068848
0.038300000,0.647155762,0.160095215
0.038400000,0.760803223,0.387634277
0.038500000,0.799987793,0.577209473
0.038600000,0.760803223,0.710266113
0.038700000,0.647155762,0.773742676
0.038800000,0.470214844,0.761535645
0.038900000,0.247192383,0.674743652
0.039000000,0.000000000,0.521911621
0.039100000,-0.247192383,0.318054199
0.039200000,-0.470214844,0.083068848
0.039300000,-0.647155762,-0.160095215
0.039400000,-0.760803223,-0.387634277
0.039500000,-0.799987793,-0.577209473
0.039600000,-0.760803223,-0.710266113
0.039700000,-0.647155762,-0.773742676
0.039800000,-0.470214844,-0.761535645
0.039900000,-0.247192383,-0.674743652
0.040000000,0.000000000,-0.521911621
0.040100000,0.247192383,-0.318054199
0.040200000,0.470214844,-0.083068848
0.040300000,0.647155762,0.160095215
0.040400000,0.760803223,0.387634277
0.040500000,0.799987793,0.577209473
0.040600000,0.760803223,0.710266113
0.040700000,0.647155762,0.773742676
0.040800000,0.470214844,0.761535645
0.040900000,0.247192383,0.674743652
0.041000000,0.000000000,0.521911621
0.041100000,-0.247192383,0.318054199
0.041200000,-0.470214844,0.083068848
0.041300000,-0.647155762,-0.160095215
0.041400000,-0.760803223,-0.387634277
0.041500000,-0.799987793,-0.577209473
0.041600000,-0.760803223,-0.710266113
0.041700000,-0.647155762,-0.773742676
0.041800000,-0.470214844,-0.761535645
0.041900000,-0.247192383,-0.674743652
0.042000000,0.000000000,-0.521911621
0.042100000,0.247192383,-0.318054199
0.042200000,0.470214844,-0.083068848
0.042300000,0.647155762,0.160095215
0.042400000,0.760803223,0.387634277
0.042500000,0.799987793,0.577209473
0.042600000,0.760803223,0.710266113
0.042700000,0.647155762,0.773742676
0.042800000,0.470214844,0.761535645
0.042900000,0.247192383,0.674743652
0.043000000,0.000000000,0.521911621
0.043100000,-0.247192383,0.318054199
0.043200000,-0.470214844,0.083068848
0.043300000,-0.647155762,-0.160095215
0.043400000,-0.760803223,-0.387634277
0.043500000,-0.799987793,-0.577209473
0.043600000,-0.760803223,-0.710266113
0.043700000,-0.647155762,-0.773742676
0.043800000,-0.470214844,-0.761535645
0.043900000,-0.247192383,-0.674743652
0.044000000,0.000000000,-0.521911621
0.044100000,0.247192383,-0.318054199
0.044200000,0.470214844,-0.083068848
0.044300000,0.647155762,0.160095215
0.044400000,0.760803223,0.387634277
0.044500000,0.799987793,0.577209473
0.044600000,0.760803223,0.710266113
0.044700000,0.647155762,0.773742676
0.044800000,0.470214844,0.761535645
0.044900000,0.247192383,0.674743652
0.045000000,0.000000000,0.521911621
0.045100000,-0.247192383,0.318054199
0.045200000,-0.470214844,0.083068848
0.045300000,-0.647155762,-0.160095215
0.045400000,-0.760803223,-0.387634277
0.045500000,-0.799987793,-0.577209473
0.045600000,-0.760803223,-0.710266113
0.045700000,-0.647155762,-0.773742676
0.045800000,-0.470214844,-0.761535645
0.045900000,-0.247192383,-0.674743652
0.046000000,0.000000000,-0.521911621
0.046100000,0.247192383,-0.318054199
0.046200000,0.470214844,-0.083068848
0.046300000,0.647155762,0.160095215
0.046400000,0.760803223,0.387634277
0.046500000,0.799987793,0.577209473
0.046600000,0.760803223,0.710266113
0.046700000,0.647155762,0.773742676
0.046800000,0.470214844,0.761535645
0.046900000,0.247192383,0.674743652
0.047000000,0.000000000,0.521911621
0.047100000,-0.247192383,0.318054199
0.047200000,-0.470214844,0.083068848
0.047300000,-0.647155762,-0.160095215
0.047400000,-0.760803223,-0.387634277
0.047500000,-0.799987793,-0.577209473
0.047600000,-0.760803223,-0.710266113
0.047700000,-0.647155762,-0.773742676
0.047800000,-0.470214844,-0.761535645
0.047900000,-0.247192383,-0.674743652
0.048000000,0.000000000,-0.521911621
0.048100000,0.247192383,-0.318054199
0.048200000,0.470214844,-0.083068848
0.048300000,0.647155762,0.160095215
0.048400000,0.760803223,0.387634277
0.048500000,0.799987793,0.577209473
0.048600000,0.760803223,0.710266113
0.048700000,0.647155762,0.773742676
0.048800000,0.470214844,0.761535645
0.048900000,0.247192383,0.674743652
0.049000000,0.000000000,0.521911621
0.049100000,-0.247192383,0.318054199
0.049200000,-0.470214844,0.083068848
0.049300000,-0.647155762,-0.160095215
0.049400000,-0.760803223,-0.387634277
0.049500000,-0.799987793,-0.577209473
0.049600000,-0.760803223,-0.710266113
0.049700000,-0.647155762,-0.773742676
0.049800000,-0.470214844,-0.761535645
0.049900000,-0.247192383,-0.674743652
0.050000000,0.000000000,-0.521911621
0.050100000,0.247192383,-0.318054199
0.050200000,0.470214844,-0.083068848
0.050300000,0.647155762,0.160095215
0.050400000,0.760803223,0.387634277
0.050500000,0.799987793,0.577209473
0.050600000,0.760803223,0.710266113
0.050700000,0.647155762,0.773742676
0.050800000,0.470214844,0.761535645
0.050900000,0.247192383,0.674743652
0.051000000,0.000000000,0.521911621
0.051100000,-0.247192383,0.318054199
0.051200000,-0.470214844,0.083068848
0.051300000,-0.647155762,-0.160095215
0.051400000,-0.760803223,-0.387634277
0.051500000,-0.799987793,-0.577209473
0.051600000,-0.760803223,-0.710266113
0.051700000,-0.647155762,-0.773742676
0.051800000,-0.470214844,-0.761535645
0.051900000,-0.247192383,-0.674743652
0.052000000,0.000000000,-0.521911621
0.052100000,0.247192383,-0.318054199
0.052200000,0.470214844,-0.083068848
0.052300000,0.647155762,0.160095215
0.052400000,0.760803223,0.387634277
0.052500000,0.799987793,0.577209473
0.052600000,0.760803223,0.710266113
0.052700000,0.647155762,0.773742676
0.052800000,0.470214844,0.761535645
0.052900000,0.247192383,0.674743652
0.053000000,0.000000000,0.521911621
0.053100000,-0.247192383,0.318054199
0.053200000,-0.470214844,0.083068848
0.053300000,-0.647155762,-0.160095215
0.053400000,-0.760803223,-0.387634277
0.053500000,-0.799987793,-0.577209473
0.053600000,-0.760803223,-0.710266113
0.053700000,-0.647155762,-0.773742676
0.053800000,-0.470214844,-0.761535645
0.053900000,-0.247192383,-0.674743652
0.054000000,0.000000000,-0.521911621
0.054100000,0.247192383,-0.318054199
0.054200000,0.470214844,-0.083068848
0.054300000,0.647155762,0.160095215
0.054400000,0.760803223,0.387634277
0.054500000,0.799987793,0.577209473
0.054600000,0.760803223,0.710266113
0.054700000,0.647155762,0.773742676
0.054800000,0.470214844,0.761535645
0.054900000,0.247192383,0.674743652
0.055000000,0.000000000,0.521911621
0.055100000,-0.247192383,0.318054199
0.055200000,-0.470214844,0.083068848
0.055300000,-0.647155762,-0.160095215
0.055400000,-0.760803223,-0.387634277
0.055500000,-0.799987793,-0.577209473
0.055600000,-0.760803223,-0.710266113
0.055700000,-0.647155762,-0.773742676
0.055800000,-0.470214844,-0.761535645
0.055900000,-0.247192383,-0.674743652
0.056000000,0.000000000,-0.521911621
0.056100000,0.247192383,-0.318054199
0.056200000,0.470214844,-0.083068848
0.056300000,0.647155762,0.160095215
0.056400000,0.760803223,0.387634277
0.056500000,0.799987793,0.577209473
0.056600000,0.760803223,0.710266113
0.056700000,0.647155762,0.773742676
0.056800000,0.470214844,0.761535645
0.056900000,0.247192383,0.674743652
0.057000000,0.000000000,0.521911621
0.057100000,-0.247192383,0.318054199
0.057200000,-0.470214844,0.083068848
