time,input,output
0,1,0.067455
0.0001,0,0.212009783355
0.0002,0,0.281933067464
0.0003,0,0.234727560863
0.0004,0,0.151908581659
0.0005,0,0.0767342590867
0.0006,0,0.0249986972192
0.0007,0,-0.00310248253333
0.0008,0,-0.013865415807
0.0009,0,-0.0145672175472
0.001,0,-0.0109264785613
0.0011,0,-0.00647548282502
0.0012,0,-0.00289095811713
0.0013,0,-0.000631263266925
0.0014,0,0.000471851135869
0.0015,0,0.000799899203397
0.0016,0,0.000719491801767
0.0017,0,0.000492171067409
0.0018,0,0.000265539560488
0.0019,0,0.000100340916615
0.002,0,5.07435834179e-06
0.0021,0,-3.56203335022e-05
0.0022,0,-4.28080341584e-05
0.0023,0,-3.42248741223e-05
0.0024,0,-2.14474383888e-05
0.0025,0,-1.03861576638e-05
0.0026,0,-3.01778554296e-06
0.0027,0,8.38082415124e-07
0.0028,0,2.20363906013e-06
0.0029,0,2.17276134603e-06
0.003,0,1.57377375023e-06
0.0031,0,9.0188847497e-07
0.0032,0,3.81195455786e-07
0.0033,0,6.34041102241e-08
0.0034,0,-8.48858848631e-08
0.0035,0,-1.23195853247e-07
0.0036,0,-1.05770050698e-07
0.0037,0,-7.00385260755e-08
0.0038,0,-3.63913564946e-08
0.0039,0,-1.26830756662e-08
0.004,0,5.25655496171e-10
0.0041,0,5.83632446429e-09
0.0042,0,6.45382001197e-09
0.0043,0,4.96738809387e-09
0.0044,0,3.01352557908e-09
0.0045,0,1.39388951169e-09
0.0046,0,3.49220936546e-10
0.0047,0,-1.76237725704e-10
0.0048,0,-3.45593028464e-10
0.0049,0,-3.22256213285e-10
0.005,0,-2.25673654732e-10
0.0051,0,-1.24914945996e-10
0.0052,0,-4.96184535846e-11
0.0053,0,-5.14868456404e-12
0.0054,0,1.45974009157e-11
0.0055,0,1.88099031407e-11
0.0056,0,1.54736277906e-11
0.0057,0,9.92142859881e-12
0.0058,0,4.95256819746e-12
0.0059,0,1.56517523245e-12
0.006,0,-2.55429836704e-13
0.0061,0,-9.38047960267e-13
0.0062,0,-9.66730836232e-13
0.0063,0,-7.17733470168e-13
0.0064,0,-4.21294063924e-13
0.0065,0,-1.8525432266e-13
0.0066,0,-3.78340878507e-14
0.0067,0,3.32284145568e-14
0.0068,0,5.35971687928e-14
0.0069,0,4.75440221971e-14
0.007,0,3.2217270743e-14
0.0071,0,1.71977936882e-14
0.0072,0,6.35762315123e-15
0.0073,0,1.67479221482e-16
0.0074,0,-2.43296948066e-15
0.0075,0,-2.84997247521e-15
0.0076,0,-2.25314675292e-15
0.0077,0,-1.39884954089e-15
0.0078,0,-6.68770733228e-16
0.0079,0,-1.86954145203e-16
0.008,0,6.23801789847e-17
0.0081,0,1.48473095725e-16
0.0082,0,1.43951701441e-16
0.0083,0,1.03245108115e-16
0.0084,0,5.85846543219e-17
0.0085,0,2.43420823772e-17
0.0086,0,3.63908527681e-18
0.0087,0,-5.88888456614e-18
0.0088,0,-8.23307937714e-18
0.0089,0,-6.97935119508e-18
0.009,0,-4.57869180682e-18
0.0091,0,-2.35231646347e-18
0.0092,0,-7.98591939343e-19
0.0093,0,5.82490611171e-20
0.0094,0,3.96232329726e-19
0.0095,0,4.28841103279e-19
0.0096,0,3.26594508517e-19
0.0097,0,1.96267854712e-19
0.0098,0,8.95138487028e-20
0.0099,0,2.12942392185e-20
0.01,0,-1.26119583391e-20
0.0101,0,-2.32053842326e-20
0.0102,0,-2.13171599329e-20
0.0103,0,-1.4786042193e-20
0.0104,0,-8.10054825731e-21
0.0105,0,-3.15516846062e-21
0.0106,0,-2.62431784411e-22
0.0107,0,1.00248322132e-21
0.0108,0,1.25414980324e-21
0.0109,0,1.01964933491e-21
0.011,0,6.47733048435e-22
0.0111,0,3.1944042023e-22
0.0112,0,9.77333672262e-23
0.0113,0,-2.01560264633e-23
0.0114,0,-6.33818006072e-23
0.0115,0,-6.41238868959e-23
0.0116,0,-4.71286939865e-23
0.0117,0,-2.73971818902e-23
0.0118,0,-1.18599691199e-23
0.0119,0,-2.24629966625e-24
0.012,0,2.32825811402e-24
0.0121,0,3.58841605814e-24
0.0122,0,3.14039806638e-24
0.0123,0,2.10813511559e-24
0.0124,0,1.11321776274e-24
0.0125,0,4.02159116632e-25
0.0126,0,1.29502918604e-28
0.0127,0,-1.65861253175e-25
0.0128,0,-1.89629719172e-25
0.0129,0,-1.48276470045e-25
0.013,0,-9.11989880828e-26
0.0131,0,-4.30309251456e-26
0.0132,0,-1.15370435682e-26
0.0133,0,4.57632915083e-27
0.0134,0,9.99309116889e-27
0.0135,0,9.53282754549e-27
0.0136,0,6.77074269171e-27
0.0137,0,3.80372670587e-27
0.0138,0,1.55265862458e-27
0.0139,0,2.04499941831e-28
0.014,0,-4.0719016892e-28
0.0141,0,-5.4982717995e-28
0.0142,0,-4.60355954187e-28
0.0143,0,-2.99212198126e-28
0.0144,0,-1.51961221317e-28
0.0145,0,-5.01754893768e-29
0.0146,0,5.3792013301e-30
0.0147,0,2.68605160528e-29
0.0148,0,2.84805520855e-29
0.0149,0,2.14648431792e-29
0.015,0,1.27772784237e-29
0.0151,0,5.74360652982e-30
0.0152,0,1.29043648816e-30
0.0153,0,-8.95987669808e-31
0.0154,0,-1.55678261295e-30
0.0155,0,-1.40951371758e-30
0.0156,0,-9.68415319716e-31
0.0157,0,-5.25040095497e-31
0.0158,0,-2.00353851489e-31
0.0159,0,-1.22667193083e-32
0.016,0,6.86844410238e-32
0.0161,0,8.35686514827e-32
0.0162,0,6.71647870079e-32
0.0163,0,4.22713539303e-32
0.0164,0,2.05900661337e-32
0.0165,0,6.08465083388e-33
0.0166,0,-1.5448360549e-33
0.0167,0,-4.27743169983e-33
0.0168,0,-4.25132256243e-33
0.0169,0,-3.09347849519e-33
