time,input,output
0,0,0
0.0001,0,0
0.0002,0,0
0.0003,0,0
0.0004,0,0
0.0005,0,0
0.0006,0,0
0.0007,0,0
0.0008,0,0
0.0009,0,0
0.001,0,0
0.0011,0,0
0.0012,0,0
0.0013,0,0
0.0014,0,0
0.0015,0,0
0.0016,0,0
0.0017,0,0
0.0018,0,0
0.0019,0,0
0.002,0,0
0.0021,0,0
0.0022,0,0
0.0023,0,0
0.0024,0,0
0.0025,0,0
0.0026,0,0
0.0027,0,0
0.0028,0,0
0.0029,0,0
0.003,0,0
0.0031,0,0
0.0032,0,0
0.0033,0,0
0.0034,0,0
0.0035,0,0
0.0036,0,0
0.0037,0,0
0.0038,0,0
0.0039,0,0
0.004,0,0
0.0041,0,0
0.0042,0,0
0.0043,0,0
0.0044,0,0
0.0045,0,0
0.0046,0,0
0.0047,0,0
0.0048,0,0
0.0049,0,0
0.005,0,0
0.0051,0,0
0.0052,0,0
0.0053,0,0
0.0054,0,0
0.0055,0,0
0.0056,0,0
0.0057,0,0
0.0058,0,0
0.0059,0,0
0.006,0,0
0.0061,0,0
0.0062,0,0
0.0063,0,0
0.0064,0,0
0.0065,0,0
0.0066,0,0
0.0067,0,0
0.0068,0,0
0.0069,0,0
0.007,0,0
0.0071,0,0
0.0072,0,0
0.0073,0,0
0.0074,0,0
0.0075,0,0
0.0076,0,0
0.0077,0,0
0.0078,0,0
0.0079,0,0
0.008,0,0
0.0081,0,0
0.0082,0,0
0.0083,0,0
0.0084,0,0
0.0085,0,0
0.0086,0,0
0.0087,0,0
0.0088,0,0
0.0089,0.07916667,0.00534018772485
0.009,0.15833333,0.0274644833308
0.0091,0.2375,0.0719084796052
0.0092,0.31666667,0.134935074531
0.0093,0.39583333,0.209987765809
0.0094,0.475,0.291115252236
0.0095,0.55416667,0.374221802329
0.0096,0.63333333,0.457082739526
0.0097,0.7125,0.538845997589
0.0098,0.79166667,0.619456017707
0.0099,0.87083333,0.699201025225
0.01,0.95,0.778433389959
0.0101,0.87083333,0.846756511831
0.0102,0.79166667,0.881461443216
0.0103,0.7125,0.871564327752
0.0104,0.63333333,0.824565340446
0.0105,0.55416667,0.753571120489
0.0106,0.475,0.670466273383
0.0107,0.39583333,0.583424320935
0.0108,0.31666667,0.496881538221
0.0109,0.2375,0.412534515102
0.011,0.15833333,0.330491148036
0.0111,0.07916667,0.250174417487
0.0112,0,0.170880262645
0.0113,0,0.0973823325364
0.0114,0,0.0407676378064
0.0115,0,0.00639769546819
