time,input,output
0,1,0.067455
0.0001,1,0.279464783355
0.0002,1,0.561397850819
0.0003,1,0.796125411682
0.0004,1,0.948033993341
0.0005,1,1.02476825243
0.0006,1,1.04976694965
0.0007,1,1.04666446711
0.0008,1,1.03279905131
0.0009,1,1.01823183376
0.001,1,1.0073053552
0.0011,1,1.00082987237
0.0012,1,0.997938914256
0.0013,1,0.997307650989
0.0014,1,0.997779502125
0.0015,1,0.998579401328
0.0016,1,0.99929889313
0.0017,1,0.999791064197
0.0018,1,1.00005660376
0.0019,1,1.00015694467
0.002,1,1.00016201903
0.0021,1,1.0001263987
0.0022,1,1.00008359066
0.0023,1,1.00004936579
0.0024,1,1.00002791835
0.0025,1,1.00001753219
0.0026,1,1.00001451441
0.0027,1,1.00001535249
0.0028,1,1.00001755613
0.0029,1,1.00001972889
0.003,1,1.00002130267
0.0031,1,1.00002220455
0.0032,1,1.00002258575
0.0033,1,1.00002264915
0.0034,1,1.00002256427
0.0035,1,1.00002244107
0.0036,1,1.0000223353
0.0037,1,1.00002226526
0.0038,1,1.00002222887
0.0039,1,1.00002221619
0.004,1,1.00002221671
0.0041,1,1.00002222255
0.0042,1,1.000022229
0.0043,1,1.00002223397
0.0044,1,1.00002223699
0.0045,1,1.00002223838
0.0046,1,1.00002223873
0.0047,1,1.00002223855
0.0048,1,1.00002223821
0.0049,1,1.00002223788
0.005,1,1.00002223766
0.0051,1,1.00002223753
0.0052,1,1.00002223748
0.0053,1,1.00002223748
0.0054,1,1.00002223749
0.0055,1,1.00002223751
0.0056,1,1.00002223753
0.0057,1,1.00002223754
0.0058,1,1.00002223754
0.0059,1,1.00002223754
0.006,1,1.00002223754
0.0061,1,1.00002223754
0.0062,1,1.00002223754
0.0063,1,1.00002223754
0.0064,1,1.00002223754
0.0065,1,1.00002223754
0.0066,1,1.00002223754
0.0067,1,1.00002223754
0.0068,1,1.00002223754
0.0069,1,1.00002223754
0.007,1,1.00002223754
0.0071,1,1.00002223754
0.0072,1,1.00002223754
0.0073,1,1.00002223754
0.0074,1,1.00002223754
0.0075,1,1.00002223754
0.0076,1,1.00002223754
0.0077,1,1.00002223754
0.0078,1,1.00002223754
0.0079,1,1.00002223754
0.008,1,1.00002223754
0.0081,1,1.00002223754
0.0082,1,1.00002223754
0.0083,1,1.00002223754
0.0084,1,1.00002223754
0.0085,1,1.00002223754
0.0086,1,1.00002223754
0.0087,1,1.00002223754
0.0088,1,1.00002223754
0.0089,1,1.00002223754
0.009,1,1.00002223754
0.0091,1,1.00002223754
0.0092,1,1.00002223754
0.0093,1,1.00002223754
0.0094,1,1.00002223754
0.0095,1,1.00002223754
0.0096,1,1.00002223754
0.0097,1,1.00002223754
0.0098,1,1.00002223754
0.0099,1,1.00002223754
0.01,1,1.00002223754
0.0101,1,1.00002223754
0.0102,1,1.00002223754
0.0103,1,1.00002223754
0.0104,1,1.00002223754
0.0105,1,1.00002223754
0.0106,1,1.00002223754
0.0107,1,1.00002223754
0.0108,1,1.00002223754
0.0109,1,1.00002223754
0.011,1,1.00002223754
0.0111,1,1.00002223754
0.0112,1,1.00002223754
0.0113,1,1.00002223754
0.0114,1,1.00002223754
0.0115,1,1.00002223754
0.0116,1,1.00002223754
0.0117,1,1.00002223754
0.0118,1,1.00002223754
0.0119,1,1.00002223754
0.012,1,1.00002223754
0.0121,1,1.00002223754
0.0122,1,1.00002223754
0.0123,1,1.00002223754
0.0124,1,1.00002223754
0.0125,1,1.00002223754
0.0126,1,1.00002223754
0.0127,1,1.00002223754
0.0128,1,1.00002223754
0.0129,1,1.00002223754
0.013,1,1.00002223754
0.0131,1,1.00002223754
0.0132,1,1.00002223754
0.0133,1,1.00002223754
0.0134,1,1.00002223754
0.0135,1,1.00002223754
0.0136,1,1.00002223754
0.0137,1,1.00002223754
0.0138,1,1.00002223754
