samples,elapsed_ns,ns_per_sample,time,input,output
200000,3706368,18.532,19.999900,-0.050232,-0.158875
200000,3700128,18.501,19.999900,-0.050232,-0.158875
200000,3700128,18.501,19.999900,-0.050232,-0.158875
200000,3714512,18.573,19.999900,-0.050232,-0.158875
200000,3706368,18.532,19.999900,-0.050232,-0.158875
200000,3706368,18.532,19.999900,-0.050232,-0.158875
200000,3706368,18.532,19.999900,-0.050232,-0.158875
200000,7222704,36.114,19.999900,-0.050232,-0.158875
200000,7752640,38.763,19.999900,-0.050232,-0.158875
200000,3706416,18.532,19.999900,-0.050232,-0.158875
median,3706368.0,18.532,,,
