samples,elapsed_ns,ns_per_sample,time,input,output
200000,2749264,13.746,19.999900,-0.050232,-0.158875
200000,6770480,33.852,19.999900,-0.050232,-0.158875
200000,2749280,13.746,19.999900,-0.050232,-0.158875
200000,2742992,13.715,19.999900,-0.050232,-0.158875
200000,2749280,13.746,19.999900,-0.050232,-0.158875
200000,2806944,14.035,19.999900,-0.050232,-0.158875
200000,2742992,13.715,19.999900,-0.050232,-0.158875
200000,2749264,13.746,19.999900,-0.050232,-0.158875
200000,2750688,13.753,19.999900,-0.050232,-0.158875
200000,2749280,13.746,19.999900,-0.050232,-0.158875
median,2749280.0,13.746,,,
